Date,Value
28-04-2023,58.41375173
29-04-2023,65.05621893
30-04-2023,66.44499521
01-05-2023,68.75549182
02-05-2023,67.55663407
03-05-2023,74.26193255
04-05-2023,70.52712156
05-05-2023,76.09622591
06-05-2023,80.54840986
07-05-2023,75.03603783
08-05-2023,76.30745253
09-05-2023,77.62306446
10-05-2023,75.96805238
11-05-2023,73.01820374
12-05-2023,75.03809795
13-05-2023,71.25430558
14-05-2023,72.57346075
15-05-2023,67.88726702
16-05-2023,70.86783833
17-05-2023,64.27741721
18-05-2023,63.4004426
19-05-2023,64.08203745
20-05-2023,58.68939599
21-05-2023,60.65118475
22-05-2023,62.25270635
23-05-2023,56.29317645
24-05-2023,60.18646013
25-05-2023,61.07779024
26-05-2023,63.26776628
27-05-2023,60.7372505
28-05-2023,62.37801632
29-05-2023,68.09793121
30-05-2023,69.82708113
31-05-2023,71.9673851
01-06-2023,74.35470321
02-06-2023,74.36884502
03-06-2023,78.04736923
04-06-2023,79.73441873
05-06-2023,78.93367273
06-06-2023,84.90939957
07-06-2023,82.51256534
08-06-2023,79.12994312
09-06-2023,82.34224639
10-06-2023,78.19258283
11-06-2023,80.47016379
12-06-2023,79.66926445
13-06-2023,73.94270065
14-06-2023,75.60245314
15-06-2023,72.54244015
16-06-2023,71.44383341
17-06-2023,71.80807618
18-06-2023,65.95492026
19-06-2023,63.66083559
20-06-2023,62.46546599
21-06-2023,62.08926942
22-06-2023,63.47233574
23-06-2023,64.6539288
24-06-2023,65.30040041
25-06-2023,67.57904965
26-06-2023,67.48490624
27-06-2023,72.19536087
28-06-2023,70.80918516
29-06-2023,78.96580042
30-06-2023,77.01044874
01-07-2023,76.23301946
02-07-2023,77.858215
03-07-2023,82.79788835
04-07-2023,82.92472833
05-07-2023,85.98255075
06-07-2023,86.28216105
07-07-2023,85.54111398
08-07-2023,83.90482839
09-07-2023,82.05084247
10-07-2023,83.26889938
11-07-2023,84.60179446
12-07-2023,81.75190172
13-07-2023,77.04942548
14-07-2023,77.97130601
15-07-2023,76.43670428
16-07-2023,71.98868211
17-07-2023,72.29333244
18-07-2023,70.55478319
19-07-2023,66.90194793
20-07-2023,69.01101302
21-07-2023,68.92783863
22-07-2023,69.91401736
23-07-2023,70.23657898
24-07-2023,66.18340172
25-07-2023,68.2720132
26-07-2023,72.73872484
27-07-2023,74.58672495
28-07-2023,76.6539722
29-07-2023,85.52359192
30-07-2023,81.19330167
31-07-2023,84.50307454
01-08-2023,86.1776193
02-08-2023,87.38381275
03-08-2023,86.96208302
04-08-2023,90.26193837
05-08-2023,87.9449548
06-08-2023,89.33202738
07-08-2023,88.71064218
08-08-2023,89.29296593
09-08-2023,92.80882714
10-08-2023,83.14548658
11-08-2023,86.66640065
12-08-2023,80.27140629
13-08-2023,80.63003272
14-08-2023,81.79349554
15-08-2023,77.84258443
16-08-2023,73.80329667
17-08-2023,73.00244159
18-08-2023,74.56909213
19-08-2023,70.88838282
20-08-2023,72.32748734
21-08-2023,71.96341359
22-08-2023,70.98603091
23-08-2023,77.42105664
24-08-2023,75.64086855
25-08-2023,71.9100839
26-08-2023,78.20437451
27-08-2023,78.58656012
28-08-2023,83.81592784
29-08-2023,82.75852664
30-08-2023,86.28611119
31-08-2023,89.54767203
01-09-2023,92.0585945
02-09-2023,89.41055399
03-09-2023,92.26170319
04-09-2023,92.69270806
05-09-2023,92.61492001
06-09-2023,97.29233025
07-09-2023,93.98516629
08-09-2023,89.6729512
09-09-2023,92.70481746
10-09-2023,93.50692873
11-09-2023,89.51684991
12-09-2023,82.48386907
13-09-2023,82.59703568
14-09-2023,84.20646626
15-09-2023,78.51790735
16-09-2023,79.3174227
17-09-2023,78.7836298
18-09-2023,74.55168728
19-09-2023,75.86675075
20-09-2023,69.51706855
21-09-2023,74.40360804
22-09-2023,76.82514462
23-09-2023,76.10518732
24-09-2023,83.47883039
25-09-2023,79.24490332
26-09-2023,83.31712926
27-09-2023,86.66568866
28-09-2023,91.51775201
29-09-2023,87.92648422
30-09-2023,95.13052875
01-10-2023,94.59153393
02-10-2023,94.06418339
03-10-2023,98.03885428
04-10-2023,98.18977629
05-10-2023,96.83408117
06-10-2023,97.97818965
07-10-2023,96.44788769
08-10-2023,96.43462277
09-10-2023,96.18052727
10-10-2023,96.40200138
11-10-2023,88.93056553
12-10-2023,93.73719984
13-10-2023,83.61167331
14-10-2023,85.32873385
15-10-2023,85.08594044
16-10-2023,82.99059099
17-10-2023,80.01591339
18-10-2023,80.04850942
19-10-2023,79.09397045
20-10-2023,78.9511834
21-10-2023,82.31762161
22-10-2023,82.2440861
23-10-2023,81.44498181
24-10-2023,86.26873063
25-10-2023,86.99486715
26-10-2023,90.11080708
27-10-2023,91.95677431
28-10-2023,91.26839172
29-10-2023,93.95940632
30-10-2023,98.56367089
31-10-2023,100.0336852
01-11-2023,100.1989516
02-11-2023,101.5304609
03-11-2023,104.4931013
04-11-2023,100.9613335
05-11-2023,103.0070682
06-11-2023,100.8547915
07-11-2023,99.78278669
08-11-2023,101.0391276
09-11-2023,98.84681295
10-11-2023,96.98673836
11-11-2023,96.0304777
12-11-2023,91.50868807
13-11-2023,90.9569586
14-11-2023,87.2664751
15-11-2023,87.07788831
16-11-2023,85.03049073
17-11-2023,84.72074348
18-11-2023,85.36740472
19-11-2023,82.62675478
20-11-2023,88.972095
21-11-2023,83.7204328
22-11-2023,84.63476269
23-11-2023,91.04311998
24-11-2023,92.23999141
25-11-2023,94.02191677
26-11-2023,96.24762818
27-11-2023,97.19255274
28-11-2023,97.5657071
29-11-2023,101.483911
30-11-2023,101.6983552
01-12-2023,106.402021
02-12-2023,105.1800494
03-12-2023,104.4299405
04-12-2023,105.6086942
05-12-2023,106.8101624
06-12-2023,104.1697635
07-12-2023,102.5819942
08-12-2023,103.3124323
09-12-2023,101.6506331
10-12-2023,98.29865057
11-12-2023,96.42574476
12-12-2023,95.88214882
13-12-2023,90.65876884
14-12-2023,89.05146914
15-12-2023,88.9957762
16-12-2023,88.89588786
17-12-2023,89.21337379
18-12-2023,91.22787605
19-12-2023,90.11476849
20-12-2023,88.63920103
21-12-2023,89.89946152
22-12-2023,89.29267849
23-12-2023,92.94904292
24-12-2023,94.35701621
25-12-2023,97.70838826
26-12-2023,97.6299558
27-12-2023,102.5458415
28-12-2023,106.7049811
29-12-2023,105.3762932
30-12-2023,108.0936578
31-12-2023,110.040542
